"id","profileName","text","date","title","rating","images","helpful","variant:"
"R3NLK3YDNVQYIC","Tommy Hoang","I had this CPU for two months and I will have BSOD problems a few times per day. Even during present time. Some examples would be Watchdog errors, IO Exception, and out of memory errors. Any Riot Games game will require you to install an anti-cheat software for all games, which has kernel level access. That said, playing any game at all, even without having Riot Vanguard as a running process will crash your computer anyway.I had this purchased before videos were released regarding the numerous issues to 13th and 14th gen intel CPUs, so my return window is expired. In short, stay away from 13th and 14th generations and stick to 12th gen and below.","Reviewed in the United States on June 12, 2024","Research Stability Before Buying","1.0 out of 5 stars","","0",
"R38NS7LHH2LLXD","Harly","These chips are honestly just as bad as the normal 14900K, except this stings more because there's a price premium for supposed ""binning"".If I can't run the advertised speeds without instability issues, I'm not getting what I paid top-dollar for.and yes, I run an overkill cooling system worth $800 itself.","Reviewed in the United States on June 5, 2024","Quality control issues","1.0 out of 5 stars","","0",
"R2EPYKSHAYHSTP","Eric Urness","Silicon quality the same or worse than my previous i9-14900K.  First chip the 67MC couldn’t handle XMP1 profile.  Second chip had E core SP rating of 71… all core performance worse than my 14900K.  Third chip had a 113P core/SP101 and again… not as good as my 14900K.  Maybe I had a good 14900K, but this attempt at buying a higher grade of silicon at a premium dollar rate has not been a great experience.  Amen for Amazon, Intel should know better.","Reviewed in the United States on April 18, 2024","Performance not as advertised","1.0 out of 5 stars","","14",
"R3L1RGAP444P46","WarEeyore","Bios updated to the latest as of late March. CPU would not run normally on manually tuned Intel settings. Even dropping the speeds to well be low stock and trying multiple voltage and other power settings the CPU was not stable. It's going to take three weeks for a refund. No replacement option offered.","Reviewed in the United States on April 20, 2024","Unstable on ASUS Z790","1.0 out of 5 stars","https://m.media-amazon.com/images/I/61O2khVkQGL.jpg","13",
"R3N9P08651ECPO","Aetius","Bad experience. Don't waste your money on this, Amazon doesn't even honor the promotion and didn't send the key to redeem the bonus game.","Reviewed in the United States on May 8, 2024","Terrible and expensive experience. Do not spend your money!","1.0 out of 5 stars","","0",
"R2H7CKMK6I5HNS","Spencer","Tried with multiple motherboards, power supplies, new bios updates, and this cpu ultimately proved unstable even at base settings.","Reviewed in the United States on April 30, 2024","Not stable","1.0 out of 5 stars","","3",
"R1WQHXB4JWWEUH","Amazon Customer","Both the box and package were sealed, there was no CPU inside, probably a manufacturer error.","Reviewed in the United States on May 4, 2024","The box was empty.","1.0 out of 5 stars","","2",
"R15RYRZ2GXTXBC","Wild Tommy","Runs super hot with the most expensive AIOS & doesn't OC much.","Reviewed in the United States on May 10, 2024","Not impressed","1.0 out of 5 stars","","0",
"RJCXJFWGUV99C","Nomis Ztivarts","Do not buy this CPU without an EKWB EK-Quantum Delta² TEC Custom Loop Liquid Cooling Solution, a proper delidding and performing direct to die on the 14900KS.Once you do so, this processor is a BEAST it screams, it is the highest clocking CPU there is ZERO contest. Crushes anything thrown at at, easily hits 6.90 GHZ all core, and if you disable Hyperthreading? 7 GHZ on two cores. Let me repeat this, 7 GHZ on two of your performance cores. Disable the efficiency cores? That number hits 7.30 GHZ.You don't buy the 14900KS for anything power efficiency, this is about the best of the best performance for everything from Intel. Invest in the proper setup before using this CPU, an EKWB EK-Quantum Delta² TEC Custom Loop Liquid Cooling Solution, proper delidding, and direct-to-die. You should do all three for any CPU purchase, but 14900KS owners stand to benefit the most from this technique.","Reviewed in the United States on June 23, 2024","Needs a EKWB EK-Quantum Delta² TEC Custom Loop Liquid Cooling Solution For Full Potential!","5.0 out of 5 stars","","0",
"R20Q03OJF1F2IN","Andrew S","Go ahead and take a chance at getting a very efficient 14900K.If you're set on Intel, I personally enjoy the value of being able to run similar speed as a regular 14900K, but with significantly less voltage. This, in turn, allows your system to run cooler and more quiet. Although you will always be subject to silicon lottery, the 14900KS seems to have a better memory controller than the regular 14900K on average(as it should) as well.The value of the premium cost on the KS models will always be a subjective choice. $200 extra for 5.9ghz all core and an extra 1 or 2 speed bins on your memory out of the box worth it? That'll be up to you to decide.","Reviewed in the United States on April 2, 2024","Roll the Dice","5.0 out of 5 stars","","6",
"R1QPT0GK6HPW8O","Elieser Cepeda","Perhaps the worst CPU’s Intel has EVER released. Tried a 14900K unstable and BSOD at stock speeds. Then I upgraded to the 14900KS unstable as well. Both extremely awful bin scores on Asus’s SP scores. Also Intel is a piss poor company when it comes to RMA; they are aware that a high number of these chips are failing and won’t accept an RMA if the item was gifted or someone bought it for you; location like deployments you ask a friend to buy it etc.","Reviewed in the United States on May 5, 2024","Unstable at Stock settings","1.0 out of 5 stars","","0",
"R2U7DFF8APK5VC","Süsser Tod","Más rápido y más estable que el 13900K que tenía antes. Puede correr RAM a mayor velocidad que el anterior no podía. Le resto dos estrellas por el precio elevado y por la inmensa cantidad de calor que genera. Es indispensable usar enfriamiento por agua con radiador de al menos 360 mm y con 6 ventiladores en push/pull. También es necesario ajustar la tarjeta madre con los límites de Intel para evitar que se dañe.","Reviewed in Mexico on May 15, 2024","Es un mini horno!","3.0 out of 5 stars","","0",
"R102MAU1D9NSHM","Chaz ","When you pair it with a motherboard like the MSI Z790 Godlike Max, this CPU is stable and happy. No complaints, I knew what I was buying and got it.","Reviewed in Canada on May 20, 2024","Stable and working fine","5.0 out of 5 stars","","0",
"RUWWAJHDOR0Y7","Mirko","Ho preso questo upgrade rimasto entusiasmato dalla serie I9 14900KF. In game supera in tanti scenari il ryzen 7900x3d restando dietro per pochi fps al 7950x3d. Processore che non scalda minimamente come leggo in giro nonostante i ghz in più rispetto alla versione KF. Sbloccato a 6.2ghz con max temperatura in game sui 54° ovviamente dipende dagli scenari in cyberpunk 2077, Horizon zero dawn e starfield. Tutto in 2k ultra o folle ray tracing, path tracing e dlss ove attivati.","Reviewed in Italy on April 20, 2024","Processore meglio della serie KF.","5.0 out of 5 stars","https://m.media-amazon.com/images/I/61HNEgPRUNL.jpg","0",
"R2V1N1OMPNEC9K","Michael chubb","You need a very good cooling system for these chips has i found out I had to switch off the boost in the biosfor now until I can afford A decent cooler I bought a CORSAIR iCUE LINK H150i RGB which was clearly no good. I,ve been reading some reviews and it looks like the ASUS ROG Ryujin III 360 ARGB might do the job but quite expensive but still looking at the reviews on that so if you have not got a very good cooler you will blue screen so hit that boost off in the bios...","Reviewed in the United Kingdom on June 5, 2024","A very fast CPU with very high temps","5.0 out of 5 stars","","0",
"R1WQM9T3DJY6JI","Ninja","I've had the worst luck with 14th Gen i9 bins. After only 1 month of overall decent stability, I'm just now starting to get random CRC failures when extracting archives, blue screens, game crashes; even despite having run on Intel's new power profiles since the start (from post-May-deadline set by Intel on Motherboard manufacturers) designed to avoid damaging the CPUs while Intel explores their RMA nightmare; and this CPU still managed to experience serious degradation not unlike other high end i9s in the Raptor Lake Refresh.I've already upgraded from a 14900K to a 14900KS (14900K lasted 6 months before RMA too), but this 14900KS here only lasted less than 30 days before 14th gen CPU-gate issues struck again, and it is absolutely eating this new 14900KS alive.Edit: As of this writing (June 15 2014), there is a microcode update that Intel will be pushing to BIOS vendors to fix a bug in CPU causing the CPU's Extended Adaptive Thermal Boost parameters to be set too high, which apparently is a contributing factor.  I don't believe it will necessarily fix the sudden physical depredation that my CPU has already undergone, however, I would advise anyone interested to steer clear of 14th Gen i9's until Intel has root-caused the hardware issues to prevent anyone getting stuck in a ""try-break-RMA-repeat"" support loop until this is all more understood.I miss having a reliable CPU, but right now this one ain't it.","Reviewed in Canada on June 15, 2024","CRC Failures, Blue Screens, Crashes","1.0 out of 5 stars","","2",
"R2K7GB17G69D13","Steven Kelly","This CPU eats Programs/Games alive, the high Power requirements aren't an uncommon thing. I remember when AMD had 125w CPU's and people thought it was crazy, but with the performance it didn't matter.Same goes for this CPU","Reviewed in Canada on May 16, 2024","Fastest Processor I've ever used","5.0 out of 5 stars","","0",
"R1BZTZM4DD803M","Jimmy wong",false,"Reviewed in Canada on June 6, 2024","They send me a used i5 CPU !!!! So angry!!!","1.0 out of 5 stars","https://m.media-amazon.com/images/I/61qZSk-gZvL.jpg
https://m.media-amazon.com/images/I/71gMBWifM1L.jpg
https://m.media-amazon.com/images/I/71u8IfLswML.jpg","0",
"R8COPGVBS8MM6","Mike Savoy","Very good stuff, the best","Reviewed in Canada on April 13, 2024","Very good stuff, the best","5.0 out of 5 stars","","0",
"R3D5YEH7NY19NO","Das Spaz","I went through 3 of these processors, with another vendor. It was the Amazon one that I got that gave me a good bin and system stability.The previous ones were so bad that my system was unstable at stock settings.SP  109SP Pcore 126SP Ecore  79SP MC  88You might get lucky too, but don't bank on bin lottery. It might not happen.These chips should have never happened. 13k should have been the last chip of this design.The 14ks runs extremely hot, even on a custom loop. Be aware, you'll need minimum a 360mm long by 45mm thick radiator. I use a 65mm thick radiator in a custom loop and that's adequate, kind of. If going the AIO route I suggest Arctic. Most other manufacturers make AIOs thag may be too thin to cool this CPU.","Reviewed in Canada on April 26, 2024","Got lucky with a good bin","4.0 out of 5 stars","https://m.media-amazon.com/images/I/61ICgkDBhWL.jpg
https://m.media-amazon.com/images/I/61i19ZNaJHL.jpg
https://m.media-amazon.com/images/I/715Hy9WNvhL.jpg","0",
